,match_id,game_id,team_id,rating,acs,kill,death,assist,kast,adr,hs,fk,fd
72,542210,233440,474,0.792,171.9,6.1,7.6,1.9,62.7,113.0,36.5,0.9,1.1
73,542210,233440,8185,1.174,211.7,7.6,6.1,2.1,72.6,138.9,33.9,1.1,0.9
74,542211,233442,1001,1.214,210.9,8.4,6.5,4.9,83.1,134.4,32.7,1.5,0.8
75,542211,233442,11058,0.8140000000000001,162.9,6.5,8.4,3.0,61.1,104.6,22.7,0.8,1.5
76,542211,233443,1001,1.149,217.1,8.7,7.7,4.7,74.5,150.6,29.7,1.4,0.9
77,542211,233443,11058,0.933,196.2,7.7,8.7,3.9,67.5,126.3,25.8,0.9,1.4
78,542212,233445,14,1.028,205.9,9.8,10.3,4.6,69.9,131.5,28.5,1.4,1.4
79,542212,233445,11981,0.9949999999999999,207.3,10.3,9.8,3.9,75.8,134.4,29.0,1.4,1.4
80,542212,233446,14,0.9949999999999999,207.8,10.9,10.7,3.5,73.2,130.9,35.5,1.4,1.6
81,542212,233446,11981,0.9969999999999999,200.9,10.7,10.9,4.3,72.6,132.1,30.3,1.6,1.4
82,542213,233448,14,0.889,184.7,7.3,9.0,3.2,64.7,114.8,35.0,1.0,1.3
83,542213,233448,1001,1.119,219.7,9.0,7.3,4.1,80.8,138.1,33.2,1.3,1.0
84,542213,233449,14,1.0230000000000001,201.8,8.5,7.9,3.2,71.6,131.0,29.9,1.4,1.0
85,542213,233449,1001,0.9570000000000001,191.9,7.9,8.5,3.2,68.3,125.5,31.2,1.0,1.4
86,542214,233451,11058,1.182,211.6,7.2,6.1,3.1,79.8,136.7,28.2,0.9,1.1
87,542214,233451,11981,0.757,168.6,6.1,7.2,2.4,67.7,108.5,32.6,1.1,0.9
88,542214,233452,11058,1.1960000000000002,218.3,7.9,6.6,3.6,75.9,149.3,25.3,0.9,1.1
89,542214,233452,11981,0.828,184.9,6.6,7.9,2.4,72.3,123.0,37.0,1.1,0.9
90,542215,233454,14,0.8699999999999999,187.2,7.2,8.0,2.3,69.6,119.9,29.5,1.1,1.1
91,542215,233454,11058,1.116,209.0,8.0,7.2,3.8,77.8,136.5,26.0,1.1,1.1
92,542215,233455,14,0.738,164.0,5.7,8.3,2.0,60.5,109.4,34.4,0.6,1.5
93,542215,233455,11058,1.25,218.3,8.3,5.7,3.5,79.9,135.7,25.0,1.5,0.6
94,542264,233457,2593,1.061,196.9,8.2,7.2,2.5,70.8,136.3,28.2,1.2,1.2
95,542264,233457,8185,0.8960000000000001,177.9,7.2,8.2,2.5,67.3,118.3,30.9,1.2,1.2
96,542264,233458,2593,0.9790000000000001,187.4,6.8,7.1,3.2,65.2,122.0,27.6,1.0,1.1
97,542264,233458,8185,1.03,198.0,7.1,6.8,2.5,72.9,132.1,28.6,1.1,1.0
98,542264,233459,2593,1.276,215.6,6.6,5.1,3.5,84.1,142.1,29.6,1.0,0.8
99,542264,233459,8185,0.7070000000000001,162.3,5.1,6.6,1.2,61.7,105.8,36.9,0.8,1.0
100,542265,233460,624,1.012,202.5,8.5,8.2,3.2,67.4,131.1,28.4,0.9,1.5
101,542265,233460,11058,0.962,197.0,8.2,8.5,2.0,70.9,128.4,23.9,1.5,0.9
102,542265,233461,624,1.0,207.4,10.0,9.7,3.4,72.2,133.6,29.8,1.1,1.7
103,542265,233461,11058,1.002,203.7,9.7,10.0,3.6,70.6,132.1,26.2,1.7,1.1
104,542265,233462,624,1.037,210.3,8.9,8.2,3.2,73.3,139.9,26.1,1.1,1.3
105,542265,233462,11058,0.984,204.6,8.2,8.9,2.9,68.3,136.0,20.9,1.3,1.1
106,542266,233463,1001,0.8640000000000001,174.1,7.4,9.4,2.8,67.8,120.9,33.3,1.5,1.1
107,542266,233463,7386,1.077,202.3,9.4,7.4,4.7,78.7,131.4,27.6,1.1,1.5
108,542266,233464,1001,0.7070000000000001,161.6,4.9,8.2,1.5,52.0,101.2,29.6,0.4,1.5
109,542266,233464,7386,1.237,230.2,8.2,4.9,3.3,82.8,152.2,30.6,1.5,0.4
110,542267,233466,1034,1.484,272.0,5.9,2.7,2.5,88.4,178.44444444444446,25.444444444444443,0.7,0.7
111,542267,233466,14419,0.487,120.8,2.7,5.9,2.2,69.1,80.4,47.3,0.7,0.7
112,542267,233467,1034,1.247,220.6,7.5,5.3,3.3,82.4,137.1,21.2,1.2,0.7
113,542267,233467,14419,0.776,157.6,5.3,7.5,1.8,64.5,107.0,25.6,0.7,1.2
114,542268,233469,624,1.0390000000000001,194.5,7.9,7.6,2.4,71.8,133.8,29.4,1.0,1.3
115,542268,233469,2593,0.961,190.6,7.6,7.9,2.8,69.6,129.6,29.5,1.3,1.0
116,542268,233470,624,0.5589999999999999,142.7,4.5,6.9,1.5,48.0,89.7,23.1,0.6,1.1
117,542268,233470,2593,1.3619999999999999,231.4,6.9,4.5,1.7,81.0,144.7,34.3,1.1,0.6
118,542268,233471,624,0.8779999999999999,190.8,7.5,8.5,2.5,75.2,131.6,24.8,1.2,1.0
119,542268,233471,2593,1.181,223.5,8.5,7.5,3.9,80.4,149.4,26.6,1.0,1.2
120,542269,233472,1034,0.8859999999999999,164.6,8.1,10.6,4.1,64.1,104.3,20.5,1.3,1.6
121,542269,233472,7386,1.052,192.5,10.1,8.1,4.8,75.4,125.4,26.0,1.6,1.3
122,542269,233473,1034,0.687,148.8,3.8,7.3,1.6,52.2,104.5,22.5,0.2,1.5
123,542269,233473,7386,1.3039999999999998,213.0,7.3,3.8,3.8,79.9,130.9,28.6,1.5,0.2
